sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
90,spiral_inward,1.5,75.0,SUCCESS,,,2026-02-13T06:44:42.834881,1.6,1.096,0.73,0.0,1.6,250.3,5.81,17.72,0.5774,0.031914,0.131751,65.0,65.0,4225.0,1951.0,67893.0,28883.0,,,5.0,8.0,,,,,,,,,,,,,,,
91,star,4.0,55.0,SUCCESS,,,2026-02-13T06:46:15.148718,1.6,1.097,0.716,0.0,1.6,280.7,11.85,28.13,0.5774,0.029695,0.126811,65.0,65.0,4225.0,1896.0,76926.0,30214.0,,,,,,,,,,,12.0,5.1,5.0,,,,,,
92,hexagon,7.5,70.0,SUCCESS,4.0,1.0,2026-02-13T06:47:31.201170,1.6,1.1,0.704,0.0,1.6,304.8,17.72,37.04,0.5774,0.028844,0.124862,65.0,65.0,4225.0,1857.0,86175.0,31221.0,,,,,,,,,,,,,,,,,,,
93,figure8,7.0,50.0,FAILED,,,2026-02-13T06:49:49.839084,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,1.0,,,,,
94,rose,6.0,60.0,FAILED,,,2026-02-13T06:53:13.732830,,,,,,,,,,,,,,,,,,12.0,2.0,1.0,,,,,,,,,,,,,,,,
95,rose,7.0,45.0,SUCCESS,,,2026-02-13T06:54:30.615371,1.6,1.098,0.709,0.0,1.6,306.9,15.81,34.14,0.5774,0.029023,0.125239,65.0,65.0,4225.0,1866.0,84154.0,31032.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,
96,lissajous,7.5,65.0,FAILED,,,2026-02-13T07:02:11.018222,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,2.0,4.0,3.0
97,figure8,4.0,70.0,FAILED,,,2026-02-13T07:09:05.225081,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,3.0,,,,,
98,square,5.0,45.0,SUCCESS,,1.0,2026-02-13T07:10:54.354013,1.6,1.096,0.712,0.0,1.6,293.0,13.21,29.9,0.5774,0.030165,0.1276,65.0,65.0,4225.0,1887.0,77255.0,29819.0,,,,,,,16.0,,,,,,,,,,,,
99,circular,1.0,45.0,SUCCESS,16.0,,2026-02-13T07:15:23.761351,1.6,1.097,0.727,0.0,1.6,281.1,6.46,18.52,0.6088,0.032783,0.133126,65.0,65.0,4225.0,1946.0,64182.0,29026.0,,,4.0,,,,,,,,,,,,,,,,
